rel_path,page_type,city_name,service_name,tier,title,canonical,modified,status
404.html,404,Mobile,House Cleaning,A,"House Cleaning Services in Mobile, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/404.html,True,success
abbeville-al/commercial-cleaning/index.html,location_service,Abbeville,Commercial Cleaning,B,"Commercial Cleaning in Abbeville, AL | Commercial Cleaners - Zoiris",https://www.zoiriscleaningservices.com/abbeville-al/commercial-cleaning/,True,success
abbeville-al/blog/index.html,location_blog,Abbeville,Blog,B,"Cleaning Tips & Expert Advice in Abbeville, AL | Zoiris Blog",https://www.zoiriscleaningservices.com/abbeville-al/blog/,True,success
abbeville-al/airbnb-vacation-rental-management/index.html,location_service,Abbeville,Airbnb Vacation Rental Management,B,"Airbnb Vacation Rental Management in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/airbnb-vacation-rental-management/,True,success
abbeville-al/contact/index.html,location_contact,Abbeville,Contact,B,"Contact Zoiris Cleaning Services in Abbeville, AL | Get a Free Estimate",https://www.zoiriscleaningservices.com/abbeville-al/contact/,True,success
privacy.html,privacy,Mobile,House Cleaning,A,"House Cleaning Services in Mobile, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/privacy.html,True,success
index.html,homepage,Mobile,House Cleaning & Maid Services,A,"House Cleaning & Maid Services in Mobile, AL | Top-Rated Cleaners - Zoiris",https://www.zoiriscleaningservices.com/,True,success
abbeville-al/floor-stripping-waxing/index.html,location_service,Abbeville,Floor Stripping & Waxing,B,"Floor Stripping & Waxing in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/floor-stripping-waxing/,True,success
abbeville-al/deep-cleaning/index.html,location_service,Abbeville,Deep Cleaning,B,"Deep Cleaning Services in Abbeville, AL | Zoiris Cleaners",https://www.zoiriscleaningservices.com/abbeville-al/deep-cleaning/,True,success
dashboard.html,dashboard,Mobile,House Cleaning,A,"House Cleaning Services in Mobile, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/dashboard.html,True,success
abbeville-al/airbnb-cleaning/index.html,location_service,Abbeville,Airbnb Cleaning,B,"Airbnb Cleaning in Abbeville, AL | Turnover Cleaners - Zoiris",https://www.zoiriscleaningservices.com/abbeville-al/airbnb-cleaning/,True,success
abbeville-al/Detailing-abbeville-al/index.html,location_service,Abbeville,Detailing,B,"Detailing in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/Detailing-abbeville-al/,True,success
terms.html,terms,Mobile,House Cleaning,A,"House Cleaning Services in Mobile, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/terms.html,True,success
abbeville-al/carpet-cleaning/index.html,location_service,Abbeville,Carpet Cleaning,B,"Carpet Cleaning in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/carpet-cleaning/,True,success
abbeville-al/about/index.html,location_about,Abbeville,About,B,"About Zoiris Cleaning Services in Abbeville, AL | Trusted Local Cleaners",https://www.zoiriscleaningservices.com/abbeville-al/about/,True,success
abbeville-al/index.html,location_hub,Abbeville,House Cleaning & Maid Services,B,"House Cleaning Services in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/,True,success
abbeville-al/church-worship-center-cleaning/index.html,location_service,Abbeville,Church Worship Center Cleaning,B,"Church Worship Center Cleaning in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/church-worship-center-cleaning/,True,success
abbeville-al/gutter-cleaning/index.html,location_service,Abbeville,Gutter Cleaning,B,"Gutter Cleaning in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/gutter-cleaning/,True,success
abbeville-al/gym-fitness-center-cleaning/index.html,location_service,Abbeville,Gym Fitness Center Cleaning,B,"Gym Fitness Center Cleaning in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/gym-fitness-center-cleaning/,True,success
abbeville-al/home-watch-services/index.html,location_service,Abbeville,Home Watch Services,B,"Home Watch Services in Abbeville, AL | Zoiris Cleaning Services",https://www.zoiriscleaningservices.com/abbeville-al/home-watch-services/,True,success
